id,name,text,trans
4001026010010,小糸,……と、とおるちゃん\n夏休み、ずっといないの……？,……小，小透\n暑假，你都不在吗……？
4001026010020,透,うん\nみんなであそんでてよ,嗯\n你们大家一起玩吧
4001026010030,円香,……いつ帰るの,……什么时候回来？
4001026010040,透,おぼんの後,盂兰盆节之后
4001026010050,雛菜,ひななも行きたい～！\nパパにおねがいする！,雏菜也想去~！\n先去拜托爸爸！
4001026010060,透,あはは\nおばあちゃんち、遠いよ？,啊哈哈\n奶奶家很远哦？
4001026010070,雛菜,ん～、パパのおっきい車で行けば\nだいじょうぶじゃないかな～？,嗯~，开爸爸的大车的话\n应该没问题吧~？
4001026010080,円香,ひなな\nとおるはとおるのおうちの人と行くんだから,雏菜\n透是要和透的家人一起去的
4001026010090,雛菜,え～……,诶~……
4001026010100,小糸,…………,
4001026010110,円香,……,
4001026010120,円香,────…………,
4001026010130,透,じゃあ、わかった\nつぎはみんなでりょこう行こう,那，我知道了\n下次大家一起去旅行吧
4001026010140,小糸,え……！,诶……！
4001026010150,透,ひなな、車で行くよ,雏菜，要开车去哦
4001026010160,雛菜,わ、ほんと～？\nパパの車で～？,哇，真的吗~？\n开爸爸的车吗~？
4001026010170,透,ううん\nうちらの,不是\n我们的
4001026010180,小糸,え、えー……！\nとおるちゃん、うちらのって……？,诶，诶——……~\n小透，我们的是……？
4001026010190,円香,────……降ろして,————……别带我
4001026010200,透,買おう\nうちらの車,买吧\n我们的车
4001026010210,雛菜,あは～\nみんなの車～？,啊哈~\n大家的车~？
4001026010220,円香,──どうやって買うの\nすごく、なん万もするよ,——要怎么买啊\n少说，也得好几万啊
4001026010230,透,んー……\nためればいいじゃん,嗯——……\n攒出来就好了
4001026010240,透,おばあちゃんちでもらってくるから\nおこづかい,奶奶那儿也会给的\n零用钱
4001026010250,小糸,う、うんっ！,啊，嗯！
4001026010260,小糸,わ、わたしもためる……！\nとおるちゃんが帰ってくるまでにいっぱい……！,我，我也要存钱……！\n在小透从奶奶家回来之前多存点……！
4001026010270,円香,……でも、運転めんきょがいるんだよ\nおとなにならないと、運転できないんだから,……不过，开车要驾照啊\n不到成人没法开车
4001026010280,透,ふふっ\nまどかもためる？,呵呵\n圆香也要存钱？
4001026010290,円香,降ろして,别带我
0000000000000,プロデューサー,……え？\n何か言ったか、円香,……什么？\n圆香，你有说什么吗
4001026010300,円香,……私、このあたりで降りた方が近いので,……我在这附近下车离目的地比较近
0000000000000,プロデューサー,──あぁそうか……！\nいつもと反対側から来たから……はは、すまん,——啊是这样……！\n因为你之前都是从对面来的……哈哈，1抱歉
0000000000000,プロデューサー,そうだよな\n透もこの前、おんなじようなこと言ってたんだった,原来是这样啊\n透之前也说过一样的话啊
4001026010310,円香,────,
4001026010320,円香,降ろしてください,请让我下车
0000000000000,プロデューサー,ああっ、すまんすまん……\nどこか降りやすいところで────,啊，抱歉抱歉……\n那我停个好下车的地方————
0000000000000,プロデューサー,じゃあ、気を付けて\n明日も急なミーティングで悪いけど、頼むな,那路上小心\n虽然明天有个突然的会议，要麻烦你了
4001026010330,円香,……\n内容はなんですか,……\n内容是什么
0000000000000,プロデューサー,まぁ、みんな揃ってから聞いてもらえたら嬉しいよ,等大家聚在一起再说的话会更好
4001026010340,円香,……興味があるのは、\n害があるかどうかということだけです,……我有兴趣的，\n只是有没有害处而已
0000000000000,プロデューサー,あぁ……うん\n害はない。いいことだよ,啊……嗯\n没有害处，内容是好事
0000000000000,プロデューサー,とってもいいことだ、みんなにとって！\n頑張ってレッスンしてきてくれた成果だと思ってほしい,对大家来说可是非常好的好消息！\n希望你能当作是努力练习获得的成果
4001026010350,円香,……\nそうですか,……\n是吗
4001026010360,円香,では話を聞いてから判断します\nお疲れ様でした,那么等我听到消息之后再来判断\n辛苦了
0000000000000,プロデューサー,おう、お疲れ様！,哦，辛苦了！
4001026010370,円香,────……\n『初仕事が決まった』って、顔に書いてある,————……\n脸上明明，就是“第一份工作决定了”的表情
4001026010380,円香,…………,
4001026010390,円香,……でも、運転めんきょがいるんだよ\nおとなにならないと、運転できないんだから,……不过，开车要驾照啊\n不到成人没法开车
4001026010400,透,まどかもためる？,圆香也要存钱？
4001026010410,円香,──えっ,——诶
4001026010420,透,車、買おう,买车吧
4001026010430,円香,……\nためてもいいけど,……\n存钱也是可以
4001026010440,円香,でも、どこりょこう行くの？,不过，旅行要去哪？
4001026010450,小糸,う、うん……！\nとおるちゃん、どこ行くの……？,啊，嗯……！\n小透，我们要去哪……？
4001026010460,小糸,遠いとこ……？,很远的地方……？
4001026010470,雛菜,ひなな、\nすっごく楽しいとこがいい～！,雏菜，\n想去很好玩的地方~！
4001026010480,円香,……,
4001026010490,円香,どこ、行くの────,要，去哪里————
4001026010500,透,えーっと……,我想想……
4001026010510,透,海にしよう,就去海边吧
4001026010520,円香,────…………,
4001026010530,円香,どこ行くの\n私たち────,我们\n要去哪里————
info,game_event_communications/400102601.json,,
译者,告,,
