id,name,text,trans
4901035950010,にちか,……えっ\nうわー,……额\n呜哇
0000000000000,プロデューサー,……！　す、すまん……使うものなのかなって……\n気に入らなかったか,……！　抱，抱歉……觉得你用得上就买了……\n是不是又不合你心意了
4901035950020,にちか,ていうか、匂いの好みもあるしパッケージでおっ！　て\n思わせて開けてがっかりするアイテム１位じゃないですー？,我刚还觉得，这包装上有我喜欢的香味！　呢\n没想到就是这种在“打开瞬间就失望透顶”的礼物里排第1名的东西啊？
0000000000000,プロデューサー,……そ、そうか……あんまりわからなくて……\n────ごめんな,……这，这样啊……我不太懂这个……\n────对不起
4901035950030,にちか,────べつに、使いますけど……\n……あっ！　じゃ、使いきるの手伝ってくれますー？,────算了，反正能用……\n……啊！　正好，你就帮我把它用完吧？
0000000000000,プロデューサー,……えっ,……咦
4901035950040,にちか,あははっ、いい匂いの手になってくださいー\nチューブ絞りきろーーーー！！！！！,啊哈哈，快把手来洗香香\n我给你挤护手霜────！！！！！
0000000000000,プロデューサー,に、にちか────！,日，日花────！
info,special_communications/490103595.json,,
译者,可可,,
