id,name,text,trans
0000000000000,プロデューサー,どうした？　少し元気ないな,
1014001000610010,甘奈,うーん\n最近、少しハードだったからちょっと疲れてるのかもね,
1014001000610020,甘奈,でも、大丈夫だよ☆\n今日もがんばらないとね！,
0000000000000,プロデューサー,（ここはひとつ、元気づけよう）,
select,,俺も一緒に頑張るぞ,
select,,ストレッチをすると\n少し楽になるぞ,
select,,時々、\n休むのも大事だぞ,
1014001000610030,甘奈,ほんとー？\nえへへ、それなら甘奈もがんばれちゃうかな☆,
1014001000610040,甘奈,励ましてくれたんだよね？\nありがと、プロデューサーさん！,
0000000000000,プロデューサー,（よし、楽しく話せたな）,
1014001000610050,甘奈,こうかな？\n……んー、確かにちょっと身体が軽くなった気がするよ！,
1014001000610060,甘奈,これから疲れた時は\nストレッチをしてみるね！,
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,
1014001000610070,甘奈,うん\n休むのが大事だってこと、甘奈もわかってるよ,
1014001000610080,甘奈,でも、レッスンも大事だから、\n普段からの管理を気を付けるね！,
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,
info,produce_communications/101400100061.json,,
译者,,,
