id,name,text,trans
1013001001110010,夏葉,あっ、プロデューサー\nコンビニのご飯ばかりじゃ健康的とは言えないわね,
0000000000000,プロデューサー,……確かにそうだな……,
1013001001110020,夏葉,自分で作ると健康にいいものも作れるし、オススメよ？,
0000000000000,プロデューサー,（自炊か……）,
select,,作り方を教えてくれ,
select,,やっぱり\nいい材料を使うのか？,
select,,大変そうだな,
1013001001110030,夏葉,作り方ね、もちろんいいわ♪\n教えたらちゃんと毎日作るのよ？,
1013001001110040,夏葉,アナタが身体を壊すと私たちみんな困るんだから\n体調管理はしっかりね？,
0000000000000,プロデューサー,（よし、楽しく話せたな）,
1013001001110050,夏葉,確かにいいものを使えばおいしいものはできるけど\nそればかりじゃ栄養が偏るわ,
1013001001110060,夏葉,そういうバランスに気を付けるためにも\n自分で作るのが１番！　外食じゃそうはいかないわよ,
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,
1013001001110070,夏葉,何を言っているの？　身体を壊すほうがよっぽど大変だわ,
1013001001110080,夏葉,体調管理の為には自炊を選択するのが当然よ,
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,
info,produce_communications/101300100111.json,,
译者,,,
