id,name,text,trans
0000000000000,雑誌担当者,今回の特集では、こちらで指定させていただくテーマに\n沿った撮影や、インタビューも行うのですが──,这次的杂志特辑，我们将会指定一个主题\n一直随行跟拍、并且采访……
0000000000000,雑誌担当者,一番の目玉としては、\n次のような企画を考えています……！,而最大的卖点，\n将是我接下来要考虑的企划……！
2006012010010,咲耶,『私が一番撮りたい自分、伝えたい自分』──,『我最想拍下的自己、我最想表现的自己』
0000000000000,雑誌担当者,はい！　誰のためでもない、\n白瀬さんご本人のための一枚を撮りたいんです！,没错！不是为了别人，\n而是白濑小姐自己最想拍下的那一张自己照片！
0000000000000,雑誌担当者,なんでも、白瀬さんのご希望を叶えられれば……！\nと思っています,无论如何，我都希望白濑小姐可以实现这个想法……！\n请好好地考虑一下！
2006012010020,咲耶,なんでも──……,无论如何吗——……
0000000000000,雑誌担当者,がっつりご指示いただいても大丈夫ですし、\n細かいところはお任せでもオッケーですよ！,无论您提出怎样的要求都没问题\n就算是任何细节方面的指示也是完全OK哟！
0000000000000,雑誌担当者,いかがでしょう？\n今時点で、何か浮かんでくるイメージなどあれば──,怎么样？\n现在的话，有没有什么灵感在脑海里浮现？
2006012010030,咲耶,そうですね……,说的是呢……
2006012010040,咲耶,……──すみません,……啊，抱歉
0000000000000,雑誌担当者,あっ、いえいえ！,啊，没事没事
0000000000000,雑誌担当者,もちろん、今すぐ決めてくれということでは\nありませんので！,当然了，我们肯定不会\n让您立马作出决定
0000000000000,雑誌担当者,ご検討いただいて、後日教えていただけましたら！,请您好好考虑一下，过几天答复我们也不迟！
0000000000000,雑誌担当者,よろしいでしょうか、プロデューサーさん……？,可以吗，制作人先生……？
0000000000000,プロデューサー,ええ、もちろんです\nそれでは、テーマについては今後のお打ち合わせで、また,嗯嗯，这是当然\n详细的内容，我们会在后面的会议上，慢慢详谈
0000000000000,プロデューサー,引き続きよろしくお願いいたします,请务必继续与我们合作
2006012010050,咲耶,お願いいたします──,拜托你们了——
2006012010060,咲耶,──すまなかった、プロデューサー\nさっき、答えることができなくて……,——真是不好意思啊，制作人先生\n刚才一时间，没法做出回答
0000000000000,プロデューサー,いや、気にしなくていいよ,不，别太放在心上就行
0000000000000,プロデューサー,先方だって今日決め切ろうってつもりじゃなかったし\nゆっくり考えて、いい答えを出してくれたらいいんだ,他们也没说要今天就给出决定\n所以你可以慢慢考虑，再给他们一个好的答复
2006012010070,咲耶,──……うん……,——……嗯……
0000000000000,プロデューサー,……どうした？,……你怎么了？
2006012010080,咲耶,……今のところ、適切な答えが……\nイメージもできていなくてね,……直到现在，我还没想出好的方案……\n哪怕是想象中的蓝图也没有一点头绪
2006012010090,咲耶,『こんな私の一枚なら、\nファンのみんなは喜んでくれるんじゃないか』──,“如果是这样的一张照片，\n粉丝们看了会很开心的吧”
2006012010100,咲耶,……そういう案なら、ないこともないのだけれど,……像是这样的提案，也不是说没有……
2006012010110,咲耶,けれど、それが『私が一番撮りたい自分、伝えたい自分』\nと言えるのかと思ったら……,“我最想拍下的自己、我最想表现的自己”
0000000000000,プロデューサー,──まぁ確かに\n咲耶は特に、ファンを第一に考えるからな,——啊，确实\n咲耶会特别地把粉丝们的反馈放在第一优先级来考虑呢
2006012010120,咲耶,……,……
0000000000000,プロデューサー,ファンが見たいものを見せようとするのは\n咲耶の希望だと言えるし,想让粉丝们看到她们想看到的\n那确实可以说是咲耶一直以来所希望
0000000000000,プロデューサー,でも、純粋な咲耶だけの希望とも言い切れない\n──みたいな感じか,但是啊，那不能算纯粹是咲耶自己所希望的\n也可以这么说是吧
2006012010130,咲耶,──ああ\nなかなか難しいテーマさ,——就是啊\n这确实是一个两难的问题
2006012010140,咲耶,撮りたい……伝えたい──……,想拍下的……想传达的……
0000000000000,プロデューサー,……,
0000000000000,プロデューサー,ファンが喜んでくれることをしたい、って答えだって\n素晴らしいものだと俺は思うよ,只要是粉丝喜欢的我都想做，这姑且也算是答案吧\n我感觉那也不错
0000000000000,プロデューサー,──でも、せっかく引っかかったんだ\nこのチャンスに、しっかり考えてみようか,不过呢，好不容易抓住了这次机会\n不如好好地，去考虑一下吧
2006012010150,咲耶,……！,……！
2006012010160,咲耶,……そうだね\nフフ。せっかく、か……,……说的是呢\n呵呵。好不容易，吗……
select,,好きなものに\n囲まれてみるとか,比如说被喜欢的东西\n所簇拥着
select,,？\n何か違ったか……？,？\n有什么不对吗……？
select,,……まぁ、\nゆっくりな,……也是，\n慢慢来吧
2006012010170,咲耶,おや,哦呀
2006012010180,咲耶,それではアンティーカが勢揃いしてしまうけれど\nスケジュールは大丈夫かい？,那这样的话需要安提卡全员到齐哦\n工作安排没问题吗？
0000000000000,プロデューサー,ん！？　んー……！\nその時は、最大限努力するよ,唉！？额……嗯！\n到那时，我一定尽我最大的努力！
2006012010190,咲耶,フフ、冗談のつもりだったのに,呵呵，开个玩笑而已别当真
2006012010200,咲耶,けれど──そうだな\n最大限努力してくれるというのなら……,但是，你说得没错\n如果能尽最大限度的努力的话……
2006012010210,咲耶,その場合は、アナタにもいてほしいと添えておこうか,到时候，希望你也能祝我一臂之力吧
2006012010220,咲耶,私の愛するアンティーカには、\nアナタだって不可欠なのだからね,对于我深爱着的安提卡而言，\n你可是不可或缺的呢
0000000000000,プロデューサー,お、おいおい……,夸张了夸张了……
2006012010230,咲耶,ううん、そうではなくて\n私は、引っかかること自体まずいことだと思っていたから,没有没有，我不是这个意思，\n我只是觉得，对这件事太过上心本身就不太好
2006012010240,咲耶,それをアナタは、せっかく、と──\nポジティブに言うのだなと思って,再说了，你也是好不容易才——\n变得积极起来之类的
2006012010250,咲耶,素敵な捉え方を教えてもらっただけだよ,而我还学到了怎么去捕捉美好的瞬间
0000000000000,プロデューサー,ああ、そういうことか……！\nいやまぁ、たいしたことではないんだけど,啊啊，是这样啊……！\n好吧，其实也没什么大不了的
0000000000000,プロデューサー,──けど、重ねて言うぞ？,——不过，我重复一次好吗？
0000000000000,プロデューサー,もし自分を責めてしまいそうだったら\nそんなことはしなくていいんだからな、如果咲耶会因为这次工作不顺利怪罪自己\n那我们随时可以中止这次合作的
2006012010260,咲耶,──ああ。ありがとう、プロデューサー,嗯。谢谢你制作人先生
0000000000000,プロデューサー,今はきっと、焦る気持ちもあるだろうから\n寮に戻って、落ち着いてからとかさ,现在的话你蛮焦虑的\n要不，先回去宿舍安顿下来再说？
2006012010270,咲耶,……,……
0000000000000,プロデューサー,俺が答えを出せることではないけど──\n相談だったら、いつでも乗れるし,虽然我也给不出什么完美的方案但是——\n如果是商量对策的话，我倒是随时可以奉陪
2006012010280,咲耶,……フフ\n助かるよ、プロデューサー,……呵呵\n这可帮大忙了啊，制作人先生
2006012010290,咲耶,アナタの言うとおり……そうだな\nココアでも飲みながら、リラックスして考えてみるね,你说的很有道理……说的也是\n要不先回去边喝可可，边放松一下再去想这个企划吧
info,produce_events/200601201.json,,
译者,,,TkD
